file,cry_prob,cry_any_prob,face_rate,mouth_open_max,eye_open_min,label_crying,error
2026-07-05_12-00-14.mp4,0.0004210379265714437,0.0017709335079416633,0.0,0.0,1.0,0,
2026-07-12_14-49-12.mp4,0.014410753734409809,0.03566145896911621,0.0,0.0,1.0,0,
2026-07-18_21-03-34.mp4,0.0012572375126183033,0.015156366862356663,0.0,0.0,1.0,0,
2026-07-17_07-51-32.mp4,0.0008453798945993185,0.0036097189877182245,0.0,0.0,1.0,0,
2026-07-15_08-54-13.mp4,0.005899225361645222,0.01468359213322401,0.0,0.0,1.0,0,
2026-07-10_10-11-58.mp4,0.0009154467843472958,0.0033597350120544434,0.0,0.0,1.0,0,
2026-07-18_11-21-10.mp4,0.000675997172947973,0.008729986846446991,0.0,0.0,1.0,0,
2026-07-02_04-18-21.mp4,0.0004253015504218638,0.0013718133559450507,0.0,0.0,1.0,0,
2026-07-07_12-03-04.mp4,0.0005513778305612504,0.0017281289910897613,0.0,0.0,1.0,0,
2026-07-12_05-31-52.mp4,0.0009403107105754316,0.0028717266395688057,0.0,0.0,1.0,0,
2026-07-10_16-41-17.mp4,0.00048204034101217985,0.002250570571050048,0.0,0.0,1.0,0,
2026-07-08_22-03-34.mp4,0.0006374612567014992,0.003602069104090333,0.0,0.0,1.0,0,
2026-07-02_22-51-50.mp4,0.0007865192019380629,0.002224326366558671,0.0,0.0,1.0,0,
2026-07-14_14-55-25.mp4,0.0005835025804117322,0.0021837197709828615,0.0,0.0,1.0,0,
2026-07-09_14-06-48.mp4,0.0001918528723763302,0.0006515435525216162,0.0,0.0,1.0,0,
2026-07-05_11-44-27.mp4,0.00041269557550549507,0.0015777961816638708,0.0,0.0,1.0,0,
2026-07-07_09-29-42.mp4,5.5660002544755116e-05,0.0005129163037054241,0.0,0.0,1.0,0,
2026-07-04_05-06-13.mp4,0.00023218421847559512,0.0008189434884116054,0.0,0.0,1.0,0,
2026-07-25_13-45-14.mp4,0.0010523394448682666,0.005747283808887005,0.0,0.0,1.0,0,
2026-07-20_11-29-50.mp4,0.0006073096883483231,0.0025554734747856855,0.0,0.0,1.0,0,
2026-07-23_07-55-46.mp4,0.00025795598048716784,0.0008910124888643622,0.0,0.0,1.0,0,
2026-07-05_03-45-40.mp4,0.0003385926247574389,0.001567278290167451,0.0,0.0,1.0,0,
2026-07-11_10-50-10.mp4,0.0024215932935476303,0.010239711031317711,0.0,0.0,1.0,0,
2026-07-06_11-38-17.mp4,0.0004785124910995364,0.0018439401173964143,0.0,0.0,1.0,0,
2026-07-10_11-16-33.mp4,0.0005571281653828919,0.001461993670091033,0.0,0.0,1.0,0,
2026-07-21_15-33-11.mp4,0.0006736022187396884,0.0044182296842336655,0.0,0.0,1.0,0,
2026-07-01_07-34-41.mp4,0.00014815005124546587,0.00045864415005780756,0.0,0.0,1.0,0,
2026-07-09_20-06-33.mp4,0.00047728369827382267,0.0025003524497151375,0.0,0.0,1.0,0,
2026-07-05_08-54-34.mp4,0.000369577290257439,0.0018205625237897038,0.0,0.0,1.0,0,
2026-07-13_07-11-03.mp4,0.0001539266959298402,0.0013197057414799929,0.0,0.0,1.0,0,
2026-06-30_22-36-31.mp4,0.0003382480936124921,0.0007051565335132182,0.0,0.0,1.0,0,
2026-07-02_02-26-28.mp4,0.0008008441072888672,0.0038413763977587223,0.0,0.0,1.0,0,
2026-07-16_06-47-41.mp4,0.0002574505633674562,0.0011458456283435225,0.0,0.0,1.0,0,
2026-07-09_14-43-24.mp4,0.0001675324165262282,0.0003918189322575927,0.0,0.0,1.0,0,
2026-07-08_07-39-46.mp4,0.00017828574345912784,0.000985890394076705,0.0,0.0,1.0,0,
2026-07-01_21-39-52.mp4,0.00035621781717054546,0.002483819145709276,0.0,0.0,1.0,0,
2026-07-03_00-43-25.mp4,0.0002258929016534239,0.0008804983808659017,0.0,0.0,1.0,0,
2026-07-07_13-09-16.mp4,0.00014142875443212688,0.000888367707375437,0.0,0.0,1.0,0,
2026-07-06_21-21-10.mp4,0.0004941522493027151,0.0019190831808373332,0.0,0.0,1.0,0,
2026-07-19_09-47-20.mp4,0.000839847547467798,0.0022820974700152874,0.0,0.0,1.0,0,
2026-07-06_17-55-18.mp4,0.00032287975773215294,0.0013458975590765476,0.0,0.0,1.0,0,
2026-07-04_00-54-53.mp4,0.008500288240611553,0.019619284197688103,0.0,0.0,1.0,0,
2026-07-06_00-12-00.mp4,0.008776029571890831,0.029455259442329407,0.0,0.0,1.0,0,
2026-07-10_22-16-06.mp4,0.0005873408517800272,0.0025501870550215244,0.0,0.0,1.0,0,
2026-07-17_18-55-40.mp4,0.0006408236804418266,0.0020983086433261633,0.0,0.0,1.0,0,
2026-07-10_14-08-38.mp4,0.0006531749968416989,0.0019132975721731782,0.0,0.0,1.0,0,
2026-07-14_13-50-14.mp4,0.0006935839192010462,0.0024533907417207956,0.0,0.0,1.0,0,
2026-07-13_14-19-17.mp4,0.0002712471759878099,0.0016773975221440196,0.0,0.0,1.0,0,
2026-07-11_17-01-06.mp4,0.00194131163880229,0.003688446944579482,0.0,0.0,1.0,0,
2026-07-15_07-45-14.mp4,0.0004920027568005025,0.0025551889557391405,0.0,0.0,1.0,0,
2026-07-17_02-48-17.mp4,0.0011391097214072943,0.002886743750423193,0.0,0.0,1.0,0,
2026-07-11_01-54-22.mp4,0.0003596013702917844,0.0016684111906215549,0.0,0.0,1.0,0,
2026-07-07_11-13-41.mp4,0.00022818402794655412,0.0006262236856855452,0.0,0.0,1.0,0,
2026-07-09_20-30-03.mp4,0.000394900533137843,0.0017890383023768663,0.0,0.0,1.0,0,
2026-07-04_06-44-10.mp4,0.00012123433407396078,0.00030315975891426206,0.0,0.0,1.0,0,
2026-07-06_00-40-30.mp4,0.0015496512642130256,0.007634822279214859,0.0,0.0,1.0,0,
2026-07-26_04-39-41.mp4,0.0045710233971476555,0.009429450146853924,0.0,0.0,1.0,0,
2026-07-07_04-51-03.mp4,0.00014346669195219874,0.0010718374978750944,0.0,0.0,1.0,0,
2026-07-18_15-16-56.mp4,0.00036780742811970413,0.001071459730155766,0.0,0.0,1.0,0,
2026-07-05_13-05-20.mp4,0.00040678109508007765,0.001454137614928186,0.0,0.0,1.0,0,
2026-07-08_01-03-52.mp4,0.00038018723716959357,0.0014109771000221372,0.0,0.0,1.0,0,
2026-07-12_18-22-53.mp4,0.00020483125990722328,0.0010186717845499516,0.0,0.0,1.0,0,
2026-07-04_08-29-11.mp4,0.0001943480019690469,0.0010007403325289488,0.0,0.0,1.0,0,
2026-06-30_14-24-25.mp4,0.002654480515047908,0.009440390393137932,0.0,0.0,1.0,0,
2026-06-30_18-22-13.mp4,0.00017469502927269787,0.0007201142725534737,0.0,0.0,1.0,0,
2026-07-25_01-14-46.mp4,0.0005250002723187208,0.002088941168040037,0.0,0.0,1.0,0,
2026-07-04_02-40-16.mp4,0.00037753910874016583,0.0016360381850972772,0.0,0.0,1.0,0,
2026-07-01_09-36-54.mp4,0.0005654179258272052,0.0013706197496503592,0.0,0.0,1.0,0,
2026-07-17_07-23-14.mp4,0.0005957718240097165,0.001907007535919547,0.0,0.0,1.0,0,
2026-07-13_10-50-01.mp4,0.0002851678291335702,0.0015305147971957922,0.0,0.0,1.0,0,
2026-07-22_03-10-40.mp4,0.0004507856792770326,0.0016311303479596972,0.0,0.0,1.0,0,
2026-07-06_00-19-30.mp4,0.0035702954046428204,0.012486794963479042,0.0,0.0,1.0,0,
