file,present_frac,move_mean,move_frac,move_curve,wrist_vis_frac,hands_up_frac
2026-07-18_15-02-20.mp4,0.0,0.0187,0.0,"[0.0262, 0.0165, 0.0161, 0.0141]",0.0,0.0
2026-07-15_15-57-02.mp4,0.0,0.0129,0.0,"[0.0249, 0.0175, 0.0142, 0.0121, 0.0058, 0.009, 0.0099, 0.009]",0.0,0.0
2026-07-01_17-52-05.mp4,0.0,0.0364,0.375,"[0.0236, 0.0558, 0.1103, 0.0313, 0.0061, 0.018, 0.0273, 0.0141]",0.0,0.0
2026-07-02_02-01-46.mp4,0.0,nan,,[],0.0,0.0
2026-07-12_08-05-20.mp4,0.0,0.0131,0.0,"[0.0094, 0.0073, 0.0237, 0.0138, 0.0109]",0.0,0.0
2026-07-22_07-49-37.mp4,0.0,nan,,[],0.0,0.0
2026-07-10_12-45-02.mp4,0.0,nan,,[],0.0,0.0
2026-07-15_20-13-29.mp4,0.0,0.0432,0.125,"[0.2341, 0.027, 0.0198, 0.0092, 0.0209, 0.0162, 0.0069, 0.004]",0.0,0.0
2026-07-08_18-57-39.mp4,0.0,0.0541,1.0,"[0.0482, 0.0589]",0.0,0.0
2026-07-12_04-25-16.mp4,0.0,0.0012,0.0,"[0.0047, 0.0026, 0.0, 0.0]",0.0,0.0
2026-07-21_06-46-28.mp4,0.0,0.0023,0.0,"[0.0055, 0.0, 0.0041, 0.0025, 0.0, 0.001, 0.0013]",0.0,0.0
2026-07-11_15-46-16.mp4,0.0,0.1178,1.0,"[0.2513, 0.0841, 0.1683, 0.0613, 0.1035, 0.1008, 0.091, 0.0662]",0.0,0.0
2026-07-06_08-15-37.mp4,0.0,0.1328,1.0,[0.1328],0.0,0.0
2026-07-12_08-07-08.mp4,0.0,0.0379,0.429,"[0.019, 0.0418, 0.0775, 0.0804, 0.0069, 0.0161, 0.0108]",0.0,0.0
2026-07-25_18-11-59.mp4,0.0,nan,,[],0.0,0.0
2026-07-08_03-52-30.mp4,0.0,0.0416,0.667,"[0.0654, 0.0409, 0.0127]",0.0,0.0
2026-07-22_13-37-14.mp4,0.0,0.0103,0.0,"[0.0138, 0.0141, 0.0104, 0.0285, 0.0032, 0.0012, 0.0052, 0.0046]",0.0,0.0
2026-07-11_22-37-48.mp4,0.0,0.0319,0.5,"[0.0473, 0.0087]",0.0,0.0
2026-07-07_22-32-54.mp4,0.0,0.0163,0.167,"[0.014, 0.0426, 0.0087, 0.0118, 0.0056, 0.0149]",0.0,0.0
2026-07-23_08-30-04.mp4,0.0,0.0145,0.125,"[0.0388, 0.0118, 0.0048, 0.0069, 0.0, 0.0095, 0.0121, 0.0165]",0.0,0.0
2026-07-08_08-35-10.mp4,0.0,nan,,[],0.0,0.0
2026-07-23_08-48-57.mp4,0.0,0.0183,0.125,"[0.0307, 0.0252, 0.0108, 0.016, 0.0219, 0.0171, 0.0106, 0.0131]",0.025,0.0
2026-07-24_21-59-12.mp4,0.0,nan,,[],0.0,0.0
2026-07-22_15-14-01.mp4,0.0,0.0077,0.0,"[0.0175, 0.0087, 0.0096, 0.0097, 0.007, 0.0049, 0.0043, 0.0062]",0.0,0.0
2026-07-23_13-01-07.mp4,0.0,0.046,0.5,"[0.0942, 0.0684, 0.0238, 0.0179, 0.0079, 0.063, 0.0198, 0.0798]",0.05,0.05
2026-07-23_07-55-46.mp4,0.0,0.0742,1.0,"[0.0339, 0.0788, 0.106, 0.0704, 0.0588, 0.1502, 0.0389, 0.1653]",0.0,0.0
2026-07-11_13-23-36.mp4,0.0,0.0431,0.5,"[0.059, 0.0947, 0.0092, 0.03, 0.0732, 0.0134, 0.0233, 0.033]",0.0,0.0
